Permission Name,Permission Options,Feature Access,Description,Recommendations,Tenant Role Recommendations
Admin: Appliance Settings,"None, Full","This allows or disallows access to the Administration → Settings page, Appliance and License tabs.  ","The Administration Settings Appliance tab is where Morpheus Administrators would configure Morpheus Settings such as the Appliance URL and configure Tenant and User Management, Email, Proxy, and Currancy settings. Additionally, defining which Clouds are available to be configured within Morpheus is done on this page. On the Administration Settings License tab information about the current Morpheus License may be viewed and/or a new license may be applied.","This permission is recommended to only be assigned to roles utilized within the Master Tenant.  As well as those responsible to configure Currency, Email, and Proxy settings for Cloud API access.",This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
Admin: Backup Settings,"None, Full",This allows or disallows access to the Administration → Backups page.  When given to a Master Tenant user additonal settings are made available.,"The Administration Backup Settings page is where users define the default Morpheus Backup Bucket, Backup Schedule, and Retention Count, additionally, if given to a Master Tenant user they will have the ability to enable Scheduled backups, Create Backups, and Backup Appliance. ",This permission is recommended for those responsible for enabling backups and setting default backup buckets within Morpheus.,
Admin: Environment Settings,"None, Full","This allows or disallows access to the Administration → Provisioning page, Environments tab.  When given to a Master Tenant user they may define the visibility of the environment to either private or public.  When given to a Subtenant user the environment is only visible to the subtenant.",The Administration Provisioning Environments tab is where environments such as development or production are created and given a description as well as a code for use within the API. A display order and visibility is also set.,This permission is recommended for those responsible for defining environments that will be available to select whether they are the Master Tenant or individual Subtenants.,
Admin: Identity Source,"None, Role Mappings, Full","This allows or disallows access to create, edit, or delete Identity Sources associated with selected subtenants.  Role Mappings allows edit to role mappings.","The Identity Sources page associated with the selected Tenant allows for creating, editing, and removing of identity sources in addition to configuring Role Mapping for the identity source.",This permission is recommended for those responsible for integrating Morpheus with Identity Providers.  Role Mapping permission is recommended for those responsible for Role Based Access Control (RBAC).  ,This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role unless they manage their own RBAC.
Admin: Integrations,"None, Read, Full",This allows or disallows full or read access to the Administration → Integrations page.,"The Administration Integrations tab is where new integration can be configured. These include Chef, Puppet, Ansible, Ansible Tower, vRealize Orchestrator, Microsoft DNS, PowerDNS, Route 53, Git, GitHub, Docker, Jenkins, ServiceNow, Cherwell, Remedy, and ACI",This permission is recommended for those responsible for the integration between Morpheus and Integrated technologies.,
Admin: License Settings,"None, Full","This allows or disallows access to the Administration → Provisioning page, Licenses tab.  When given to a Master Tenant user they may define specific subtenants in which the licenses may be used.",The Administration Provisioning Licenses tab is where licenses may be added to Morpheus.  Morpheus may then be configured to apply these licenses on provision.  Currently only Windows license types are available.,This permission is recommended for those responsible for managing Windows licenses.,
Admin: Log Settings,"None, Full",This allows or disallows access to the Administration → Logs page.,"The Administration Logs page is where logs are enabled,  Syslog forwarding rules and Splunk and/or LogRhythm integrations are configured.",This permission is recommended for those responsible for configuring Morpheus log settings and integrations.,This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
Admin: Message of the day,"None, Full","This allows or disallows access to create and edit, the Administration → Policies page, Message of the day policy.","The Policies page is where policies are defined. On create the type of policy is selected, a name, description, and scope are defined.",This permission is recommended for those responsible for publishing the Message of the Day.,This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
Admin: Monitoring Settings,"None, Full",This allows or disallows access to the Administration → Monitoring page.,"The Administration Monitoring page is where Morpheus Monitoring and Monitoring Integrations are configured.  Available integrations are AppDynamics, ServiceNow, and New Relic.  Availability timeframe, check interval, and precision are also configured on this page.",This permission is recommended for those responsible for configuring Morpheus montoring settings and integrations.,This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
Admin: Policies,"None, Read, Full","This allows or disallows full or read access to the Administration → Policies page.  When given to a Master Tenant user the ability to define Global policies and associate them with one or many subtenants is granted.  When given to a subtenant user, a global policy applies only to their subtenant.","The Policies page is where policies are defined. On create the type of policy is selected, a name, description, and scope are defined.",This permission is recommended for those responsible for configuring and managing policies either at the Master Tenant or Subtenant.,
